Id,Symbol,Name,Sector
1,MMM,3M Company,Industrials
2,ABT,Abbott Laboratories,Health Care
3,ABBV,AbbVie,Health Care
4,ACN,Accenture plc,Information Technology
5,ATVI,Activision Blizzard,Information Technology
6,AYI,Acuity Brands Inc,Industrials
7,ADBE,Adobe Systems Inc,Information Technology
8,AAP,Advance Auto Parts,Consumer Discretionary
9,AES,AES Corp,Utilities
10,AET,Aetna Inc,Health Care
11,AMG,Affiliated Managers Group Inc,Financials
12,AFL,AFLAC Inc,Financials
13,A,Agilent Technologies Inc,Health Care
14,APD,Air Products & Chemicals Inc,Materials
15,AKAM,Akamai Technologies Inc,Information Technology
16,ALK,Alaska Air Group Inc,Industrials
17,ALB,Albemarle Corp,Materials
18,AA,Alcoa Inc,Materials
19,ALXN,Alexion Pharmaceuticals,Health Care
20,ALLE,Allegion,Industrials
21,AGN,Allergan plc,Health Care
22,ADS,Alliance Data Systems,Information Technology
23,LNT,Alliant Energy Corp,Utilities
24,ALL,Allstate Corp,Financials
25,GOOGL,Alphabet Inc Class A,Information Technology
26,GOOG,Alphabet Inc Class C,Information Technology
27,MO,Altria Group Inc,Consumer Staples
28,AMZN,Amazon.com Inc,Consumer Discretionary
29,AEE,Ameren Corp,Utilities
30,AAL,American Airlines Group,Industrials
31,AEP,American Electric Power,Utilities
32,AXP,American Express Co,Financials
33,AIG,"American International Group, Inc.",Financials
34,AMT,American Tower Corp A,Financials
35,AWK,American Water Works Company Inc,Utilities
36,AMP,Ameriprise Financial,Financials
37,ABC,AmerisourceBergen Corp,Health Care
38,AME,Ametek,Industrials
39,AMGN,Amgen Inc,Health Care
40,APH,Amphenol Corp A,Industrials
41,APC,Anadarko Petroleum Corp,Energy
42,ADI,"Analog Devices, Inc.",Information Technology
43,ANTM,Anthem Inc.,Health Care
44,AON,Aon plc,Financials
45,APA,Apache Corporation,Energy
46,AIV,Apartment Investment & Mgmt,Financials
47,AAPL,Apple Inc.,Information Technology
48,AMAT,Applied Materials Inc,Information Technology
49,ADM,Archer-Daniels-Midland Co,Consumer Staples
50,AJG,Arthur J. Gallagher & Co.,Financials
51,AIZ,Assurant Inc,Financials
52,T,AT&T Inc,Telecommunications Services
53,ADSK,Autodesk Inc,Information Technology
54,ADP,Automatic Data Processing,Information Technology
55,AN,AutoNation Inc,Consumer Discretionary
56,AZO,AutoZone Inc,Consumer Discretionary
57,AVGO,Avago Technologies,Information Technology
58,AVB,"AvalonBay Communities, Inc.",Financials
59,AVY,Avery Dennison Corp,Materials
60,BHI,Baker Hughes Inc,Energy
61,BLL,Ball Corp,Materials
62,BAC,Bank of America Corp,Financials
63,BCR,Bard (C.R.) Inc.,Health Care
64,BAX,Baxter International Inc.,Health Care
65,BBT,BB&T Corporation,Financials
66,BDX,Becton Dickinson,Health Care
67,BBBY,Bed Bath & Beyond,Consumer Discretionary
68,BRK-B,Berkshire Hathaway,Financials
69,BBY,Best Buy Co. Inc.,Consumer Discretionary
70,BIIB,BIOGEN IDEC Inc.,Health Care
71,BLK,BlackRock,Financials
72,HRB,Block H&R,Financials
73,BA,Boeing Company,Industrials
74,BWA,BorgWarner,Consumer Discretionary
75,BXP,Boston Properties,Financials
76,BSX,Boston Scientific,Health Care
77,BMY,Bristol-Myers Squibb,Health Care
78,BF-B,Brown-Forman Corporation,Consumer Staples
79,CHRW,C. H. Robinson Worldwide,Industrials
80,CA,"CA, Inc.",Information Technology
81,COG,Cabot Oil & Gas,Energy
82,CPB,Campbell Soup,Consumer Staples
83,COF,Capital One Financial,Financials
84,CAH,Cardinal Health Inc.,Health Care
85,KMX,Carmax Inc,Consumer Discretionary
86,CCL,Carnival Corp.,Consumer Discretionary
87,CAT,Caterpillar Inc.,Industrials
88,CBG,CBRE Group,Financials
89,CBS,CBS Corp.,Consumer Discretionary
90,CELG,Celgene Corp.,Health Care
91,CNC,Centene Corporation,Health Care
92,CNP,CenterPoint Energy,Utilities
93,CTL,CenturyLink Inc,Telecommunications Services
94,CERN,Cerner,Health Care
95,CF,CF Industries Holdings Inc,Materials
96,SCHW,Charles Schwab Corporation,Financials
97,CHK,Chesapeake Energy,Energy
98,CVX,Chevron Corp.,Energy
99,CMG,Chipotle Mexican Grill,Consumer Discretionary
100,CB,Chubb Limited,Financials
101,CHD,Church & Dwight,Consumer Staples
102,CI,CIGNA Corp.,Health Care
103,XEC,Cimarex Energy,Energy
104,CINF,Cincinnati Financial,Financials
105,CTAS,Cintas Corporation,Industrials
106,CSCO,Cisco Systems,Information Technology
107,C,Citigroup Inc.,Financials
108,CFG,Citizens Financial Group,Financials
109,CTXS,Citrix Systems,Information Technology
110,CME,CME Group Inc.,Financials
111,CMS,CMS Energy,Utilities
112,COH,Coach Inc.,Consumer Discretionary
113,CTSH,Cognizant Technology Solutions,Information Technology
114,CL,Colgate-Palmolive,Consumer Staples
115,CMCSA,Comcast A Corp,Consumer Discretionary
116,CMA,Comerica Inc.,Financials
117,CAG,ConAgra Foods Inc.,Consumer Staples
118,CXO,Concho Resources,Energy
119,COP,ConocoPhillips,Energy
120,ED,Consolidated Edison,Utilities
121,STZ,Constellation Brands,Consumer Staples
122,GLW,Corning Inc.,Industrials
123,COST,Costco Co.,Consumer Staples
124,CCI,Crown Castle International Corp.,Financials
125,CSRA,CSRA Inc.,Information Technology
126,CSX,CSX Corp.,Industrials
127,CMI,Cummins Inc.,Industrials
128,CVS,CVS Health,Consumer Staples
129,DHI,D. R. Horton,Consumer Discretionary
130,DHR,Danaher Corp.,Industrials
131,DRI,Darden Restaurants,Consumer Discretionary
132,DVA,DaVita Inc.,Health Care
133,DE,Deere & Co.,Industrials
134,DLPH,Delphi Automotive,Consumer Discretionary
135,DAL,Delta Air Lines,Industrials
136,XRAY,Dentsply Sirona,Health Care
137,DVN,Devon Energy Corp.,Energy
138,DO,Diamond Offshore Drilling,Energy
139,DLR,Digital Realty Trust,Financials
140,DFS,Discover Financial Services,Financials
141,DISCA,Discovery Communications-A,Consumer Discretionary
142,DISCK,Discovery Communications-C,Consumer Discretionary
143,DG,Dollar General,Consumer Discretionary
144,DLTR,Dollar Tree,Consumer Discretionary
145,D,Dominion Resources,Utilities
146,DOV,Dover Corp.,Industrials
147,DOW,Dow Chemical,Materials
148,DPS,Dr Pepper Snapple Group,Consumer Staples
149,DTE,DTE Energy Co.,Utilities
150,DD,Du Pont (E.I.),Materials
151,DUK,Duke Energy,Utilities
152,DNB,Dun & Bradstreet,Industrials
153,ETFC,E*Trade,Financials
154,EMN,Eastman Chemical,Materials
155,ETN,Eaton Corporation,Industrials
156,EBAY,eBay Inc.,Information Technology
157,ECL,Ecolab Inc.,Materials
158,EIX,Edison Int'l,Utilities
159,EW,Edwards Lifesciences,Health Care
160,EA,Electronic Arts,Information Technology
161,EMC,EMC Corp.,Information Technology
162,EMR,Emerson Electric Company,Industrials
163,ENDP,Endo International,Health Care
164,ETR,Entergy Corp.,Utilities
165,EOG,EOG Resources,Energy
166,EQT,EQT Corporation,Energy
167,EFX,Equifax Inc.,Financials
168,EQIX,Equinix,Information Technology
169,EQR,Equity Residential,Financials
170,ESS,Essex Property Trust Inc,Financials
171,EL,Estee Lauder Cos.,Consumer Staples
172,ES,Eversource Energy,Utilities
173,EXC,Exelon Corp.,Utilities
174,EXPE,Expedia Inc.,Consumer Discretionary
175,EXPD,Expeditors Int'l,Industrials
176,ESRX,Express Scripts,Health Care
177,EXR,Extra Space Storage,Financials
178,XOM,Exxon Mobil Corp.,Energy
179,FFIV,F5 Networks,Information Technology
180,FB,Facebook,Information Technology
181,FAST,Fastenal Co,Industrials
182,FRT,Federal Realty Investment Trust,Financials
183,FDX,FedEx Corporation,Industrials
184,FIS,Fidelity National Information Services,Information Technology
185,FITB,Fifth Third Bancorp,Financials
186,FSLR,First Solar Inc,Information Technology
187,FE,FirstEnergy Corp,Utilities
188,FISV,Fiserv Inc,Information Technology
189,FLIR,FLIR Systems,Industrials
190,FLS,Flowserve Corporation,Industrials
191,FLR,Fluor Corp.,Industrials
192,FMC,FMC Corporation,Materials
193,FTI,FMC Technologies Inc.,Energy
194,FL,Foot Locker Inc,Consumer Discretionary
195,F,Ford Motor,Consumer Discretionary
196,FTV,Fortive Corp,Industrials
197,FBHS,Fortune Brands Home & Security,Industrials
198,BEN,Franklin Resources,Financials
199,FCX,Freeport-McMoran Cp & Gld,Materials
200,FTR,Frontier Communications,Telecommunications Services
201,GPS,Gap (The),Consumer Discretionary
202,GRMN,Garmin Ltd.,Consumer Discretionary
203,GD,General Dynamics,Industrials
204,GE,General Electric,Industrials
205,GGP,General Growth Properties Inc.,Financials
206,GIS,General Mills,Consumer Staples
207,GM,General Motors,Consumer Discretionary
208,GPC,Genuine Parts,Consumer Discretionary
209,GILD,Gilead Sciences,Health Care
210,GPN,Global Payments Inc,Information Technology
211,GS,Goldman Sachs Group,Financials
212,GT,Goodyear Tire & Rubber,Consumer Discretionary
213,GWW,Grainger (W.W.) Inc.,Industrials
214,HAL,Halliburton Co.,Energy
215,HBI,Hanesbrands Inc,Consumer Discretionary
216,HOG,Harley-Davidson,Consumer Discretionary
217,HAR,Harman Int'l Industries,Consumer Discretionary
218,HRS,Harris Corporation,Information Technology
219,HIG,Hartford Financial Svc.Gp.,Financials
220,HAS,Hasbro Inc.,Consumer Discretionary
221,HCA,HCA Holdings,Health Care
222,HCP,HCP Inc.,Financials
223,HP,Helmerich & Payne,Energy
224,HSIC,Henry Schein,Health Care
225,HES,Hess Corporation,Energy
226,HPE,Hewlett Packard Enterprise,Information Technology
227,HOLX,Hologic,Health Care
228,HD,Home Depot,Consumer Discretionary
229,HON,Honeywell Int'l Inc.,Industrials
230,HRL,Hormel Foods Corp.,Consumer Staples
231,HST,Host Hotels & Resorts,Financials
232,HPQ,HP Inc.,Information Technology
233,HUM,Humana Inc.,Health Care
234,HBAN,Huntington Bancshares,Financials
235,ITW,Illinois Tool Works,Industrials
236,ILMN,Illumina Inc,Health Care
237,IR,Ingersoll-Rand PLC,Industrials
238,INTC,Intel Corp.,Information Technology
239,ICE,Intercontinental Exchange,Financials
240,IBM,International Bus. Machines,Information Technology
241,IP,International Paper,Materials
242,IPG,Interpublic Group,Consumer Discretionary
243,IFF,Intl Flavors & Fragrances,Materials
244,INTU,Intuit Inc.,Information Technology
245,ISRG,Intuitive Surgical Inc.,Health Care
246,IVZ,Invesco Ltd.,Financials
247,IRM,Iron Mountain Incorporated,Industrials
248,JBHT,J. B. Hunt Transport Services,Industrials
249,JEC,Jacobs Engineering Group,Industrials
250,JNJ,Johnson & Johnson,Health Care
251,JCI,Johnson Controls,Consumer Discretionary
252,JPM,JPMorgan Chase & Co.,Financials
253,JNPR,Juniper Networks,Information Technology
254,KSU,Kansas City Southern,Industrials
255,K,Kellogg Co.,Consumer Staples
256,KEY,KeyCorp,Financials
257,KMB,Kimberly-Clark,Consumer Staples
258,KIM,Kimco Realty,Financials
259,KMI,Kinder Morgan,Energy
260,KLAC,KLA-Tencor Corp.,Information Technology
261,KSS,Kohl's Corp.,Consumer Discretionary
262,KHC,Kraft Heinz Co,Consumer Staples
263,KR,Kroger Co.,Consumer Staples
264,LB,L Brands Inc.,Consumer Discretionary
265,LLL,L-3 Communications Holdings,Industrials
266,LH,Laboratory Corp. of America Holding,Health Care
267,LRCX,Lam Research,Information Technology
268,LM,Legg Mason,Financials
269,LEG,Leggett & Platt,Industrials
270,LEN,Lennar Corp.,Consumer Discretionary
271,LUK,Leucadia National Corp.,Financials
272,LVLT,Level 3 Communications,Telecommunications Services
273,LLY,Lilly (Eli) & Co.,Health Care
274,LNC,Lincoln National,Financials
275,LLTC,Linear Technology Corp.,Information Technology
276,LKQ,LKQ Corporation,Consumer Discretionary
277,LMT,Lockheed Martin Corp.,Industrials
278,L,Loews Corp.,Financials
279,LOW,Lowe's Cos.,Consumer Discretionary
280,LYB,LyondellBasell,Materials
281,MTB,M&T Bank Corp.,Financials
282,MAC,Macerich,Financials
283,M,Macy's Inc.,Consumer Discretionary
284,MNK,Mallinckrodt Plc,Health Care
285,MRO,Marathon Oil Corp.,Energy
286,MPC,Marathon Petroleum,Energy
287,MAR,Marriott Int'l.,Consumer Discretionary
288,MMC,Marsh & McLennan,Financials
289,MLM,Martin Marietta Materials,Materials
290,MAS,Masco Corp.,Industrials
291,MA,Mastercard Inc.,Information Technology
292,MAT,Mattel Inc.,Consumer Discretionary
293,MKC,McCormick & Co.,Consumer Staples
294,MCD,McDonald's Corp.,Consumer Discretionary
295,MCK,McKesson Corp.,Health Care
296,MJN,Mead Johnson,Consumer Staples
297,MDT,Medtronic plc,Health Care
298,MRK,Merck & Co.,Health Care
299,MET,MetLife Inc.,Financials
300,KORS,Michael Kors Holdings,Consumer Discretionary
301,MCHP,Microchip Technology,Information Technology
302,MU,Micron Technology,Information Technology
303,MSFT,Microsoft Corp.,Information Technology
304,MHK,Mohawk Industries,Consumer Discretionary
305,TAP,Molson Coors Brewing Company,Consumer Staples
306,MDLZ,Mondelez International,Consumer Staples
307,MON,Monsanto Co.,Materials
308,MNST,Monster Beverage,Consumer Staples
309,MCO,Moody's Corp,Financials
310,MS,Morgan Stanley,Financials
311,MSI,Motorola Solutions Inc.,Information Technology
312,MUR,Murphy Oil,Energy
313,MYL,Mylan N.V.,Health Care
314,NDAQ,NASDAQ OMX Group,Financials
315,NOV,National Oilwell Varco Inc.,Energy
316,NAVI,Navient,Financials
317,NTAP,NetApp,Information Technology
318,NFLX,Netflix Inc.,Information Technology
319,NWL,Newell Rubbermaid Co.,Consumer Discretionary
320,NFX,Newfield Exploration Co,Energy
321,NEM,Newmont Mining Corp. (Hldg. Co.),Materials
322,NWSA,News Corp. Class A,Consumer Discretionary
323,NWS,News Corp. Class B,Consumer Discretionary
324,NEE,NextEra Energy,Utilities
325,NLSN,Nielsen Holdings,Industrials
326,NKE,Nike,Consumer Discretionary
327,NI,NiSource Inc.,Utilities
328,NBL,Noble Energy Inc,Energy
329,JWN,Nordstrom,Consumer Discretionary
330,NSC,Norfolk Southern Corp.,Industrials
331,NTRS,Northern Trust Corp.,Financials
332,NOC,Northrop Grumman Corp.,Industrials
333,NRG,NRG Energy,Utilities
334,NUE,Nucor Corp.,Materials
335,NVDA,Nvidia Corporation,Information Technology
336,ORLY,O'Reilly Automotive,Consumer Discretionary
337,OXY,Occidental Petroleum,Energy
338,OMC,Omnicom Group,Consumer Discretionary
339,OKE,ONEOK,Energy
340,ORCL,Oracle Corp.,Information Technology
341,OI,Owens-Illinois Inc,Materials
342,PCAR,PACCAR Inc.,Industrials
343,PH,Parker-Hannifin,Industrials
344,PDCO,Patterson Companies,Health Care
345,PAYX,Paychex Inc.,Information Technology
346,PYPL,PayPal,Information Technology
347,PNR,Pentair Ltd.,Industrials
348,PBCT,People's United Financial,Financials
349,PEP,PepsiCo Inc.,Consumer Staples
350,PKI,PerkinElmer,Health Care
351,PRGO,Perrigo,Health Care
352,PFE,Pfizer Inc.,Health Care
353,PCG,PG&E Corp.,Utilities
354,PM,Philip Morris International,Consumer Staples
355,PSX,Phillips 66,Energy
356,PNW,Pinnacle West Capital,Utilities
357,PXD,Pioneer Natural Resources,Energy
358,PBI,Pitney-Bowes,Industrials
359,PNC,PNC Financial Services,Financials
360,RL,Polo Ralph Lauren Corp.,Consumer Discretionary
361,PPG,PPG Industries,Materials
362,PPL,PPL Corp.,Utilities
363,PX,Praxair Inc.,Materials
364,PCLN,Priceline.com Inc,Consumer Discretionary
365,PFG,Principal Financial Group,Financials
366,PG,Procter & Gamble,Consumer Staples
367,PGR,Progressive Corp.,Financials
368,PLD,Prologis,Financials
369,PRU,Prudential Financial,Financials
370,PEG,Public Serv. Enterprise Inc.,Utilities
371,PSA,Public Storage,Financials
372,PHM,Pulte Homes Inc.,Consumer Discretionary
373,PVH,PVH Corp.,Consumer Discretionary
374,QRVO,Qorvo,Information Technology
375,QCOM,QUALCOMM Inc.,Information Technology
376,PWR,Quanta Services Inc.,Industrials
377,DGX,Quest Diagnostics,Health Care
378,RRC,Range Resources Corp.,Energy
379,RTN,Raytheon Co.,Industrials
380,O,Realty Income Corporation,Financials
381,RHT,Red Hat Inc.,Information Technology
382,REGN,Regeneron,Health Care
383,RF,Regions Financial Corp.,Financials
384,RSG,Republic Services Inc,Industrials
385,RAI,Reynolds American Inc.,Consumer Staples
386,RHI,Robert Half International,Industrials
387,ROK,Rockwell Automation Inc.,Industrials
388,COL,Rockwell Collins,Industrials
389,ROP,Roper Industries,Industrials
390,ROST,Ross Stores,Consumer Discretionary
391,RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary
392,R,Ryder System,Industrials
393,SPGI,"S&P Global, Inc.",Financials
394,CRM,Salesforce.com,Information Technology
395,SCG,SCANA Corp,Utilities
396,SLB,Schlumberger Ltd.,Energy
397,SNI,Scripps Networks Interactive Inc.,Consumer Discretionary
398,STX,Seagate Technology,Information Technology
399,SEE,Sealed Air Corp.(New),Materials
400,SRE,Sempra Energy,Utilities
401,SHW,Sherwin-Williams,Materials
402,SIG,Signet Jewelers,Consumer Discretionary
403,SPG,Simon Property Group Inc,Financials
404,SWKS,Skyworks Solutions,Information Technology
405,SLG,SL Green Realty,Financials
406,SJM,Smucker (J.M.),Consumer Staples
407,SNA,Snap-On Inc.,Consumer Discretionary
408,SO,Southern Co.,Utilities
409,LUV,Southwest Airlines,Industrials
410,SWN,Southwestern Energy,Energy
411,SE,Spectra Energy Corp.,Energy
412,STJ,St Jude Medical,Health Care
413,SWK,Stanley Black & Decker,Consumer Discretionary
414,SPLS,Staples Inc.,Consumer Discretionary
415,SBUX,Starbucks Corp.,Consumer Discretionary
416,HOT,Starwood Hotels & Resorts,Consumer Discretionary
417,STT,State Street Corp.,Financials
418,SRCL,Stericycle Inc,Industrials
419,SYK,Stryker Corp.,Health Care
420,STI,SunTrust Banks,Financials
421,SYMC,Symantec Corp.,Information Technology
422,SYF,Synchrony Financial,Financials
423,SYY,Sysco Corp.,Consumer Staples
424,TROW,T. Rowe Price Group,Financials
425,TGT,Target Corp.,Consumer Discretionary
426,TEL,TE Connectivity Ltd.,Information Technology
427,TGNA,Tegna,Consumer Discretionary
428,TDC,Teradata Corp.,Information Technology
429,TSO,Tesoro Petroleum Co.,Energy
430,TXN,Texas Instruments,Information Technology
431,TXT,Textron Inc.,Industrials
432,BK,The Bank of New York Mellon Corp.,Financials
433,CLX,The Clorox Company,Consumer Staples
434,KO,The Coca Cola Company,Consumer Staples
435,HSY,The Hershey Company,Consumer Staples
436,MOS,The Mosaic Company,Materials
437,TRV,The Travelers Companies Inc.,Financials
438,DIS,The Walt Disney Company,Consumer Discretionary
439,TMO,Thermo Fisher Scientific,Health Care
440,TIF,Tiffany & Co.,Consumer Discretionary
441,TWX,Time Warner Inc.,Consumer Discretionary
442,TJX,TJX Companies Inc.,Consumer Discretionary
443,TMK,Torchmark Corp.,Financials
444,TSS,Total System Services,Information Technology
445,TSCO,Tractor Supply Company,Consumer Discretionary
446,TDG,TransDigm Group,Industrials
447,RIG,Transocean,Energy
448,TRIP,TripAdvisor,Consumer Discretionary
449,FOXA,Twenty-First Century Fox Class A,Consumer Discretionary
450,FOX,Twenty-First Century Fox Class B,Consumer Discretionary
451,TYC,Tyco International,Industrials
452,TSN,Tyson Foods,Consumer Staples
453,USB,U.S. Bancorp,Financials
454,UDR,UDR Inc,Financials
455,ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary
456,UA,Under Armour,Consumer Discretionary
457,UNP,Union Pacific,Industrials
458,UAL,United Continental Holdings,Industrials
459,UNH,United Health Group Inc.,Health Care
460,UPS,United Parcel Service,Industrials
461,URI,"United Rentals, Inc.",Industrials
462,UTX,United Technologies,Industrials
463,UHS,"Universal Health Services, Inc.",Health Care
464,UNM,Unum Group,Financials
465,URBN,Urban Outfitters,Consumer Discretionary
466,VFC,V.F. Corp.,Consumer Discretionary
467,VLO,Valero Energy,Energy
468,VAR,Varian Medical Systems,Health Care
469,VTR,Ventas Inc,Financials
470,VRSN,Verisign Inc.,Information Technology
471,VRSK,Verisk Analytics,Industrials
472,VZ,Verizon Communications,Telecommunications Services
473,VRTX,Vertex Pharmaceuticals Inc,Health Care
474,VIAB,Viacom Inc.,Consumer Discretionary
475,V,Visa Inc.,Information Technology
476,VNO,Vornado Realty Trust,Financials
477,VMC,Vulcan Materials,Materials
478,WMT,Wal-Mart Stores,Consumer Staples
479,WBA,Walgreens Boots Alliance,Consumer Staples
480,WM,Waste Management Inc.,Industrials
481,WAT,Waters Corporation,Health Care
482,WFC,Wells Fargo,Financials
483,HCN,Welltower Inc.,Financials
484,WDC,Western Digital,Information Technology
485,WU,Western Union Co,Information Technology
486,WRK,Westrock Co,Materials
487,WY,Weyerhaeuser Corp.,Financials
488,WHR,Whirlpool Corp.,Consumer Discretionary
489,WFM,Whole Foods Market,Consumer Staples
490,WMB,Williams Cos.,Energy
491,WLTW,Willis Towers Watson,Financials
492,WEC,Wisconsin Energy Corporation,Utilities
493,WYN,Wyndham Worldwide,Consumer Discretionary
494,WYNN,Wynn Resorts Ltd,Consumer Discretionary
495,XEL,Xcel Energy Inc,Utilities
496,XRX,Xerox Corp.,Information Technology
497,XLNX,Xilinx Inc,Information Technology
498,XL,XL Capital,Financials
499,XYL,Xylem Inc.,Industrials
500,YHOO,Yahoo Inc.,Information Technology
501,YUM,Yum! Brands Inc,Consumer Discretionary
502,ZBH,Zimmer Biomet Holdings,Health Care
503,ZION,Zions Bancorp,Financials
504,ZTS,Zoetis,Health Care